customer_id,application_date,branch_id,customer_group_id,age,gender,marital_status,education_level,employment_type,annual_income,monthly_expenses,loan_amount,loan_tenure_months,interest_rate,credit_score,existing_loans_count,credit_card_utilization,late_payment_count,bank_balance,savings_account_balance,transaction_frequency,avg_transaction_value,last_payment_delay_days,property_ownership,city_tier,has_insurance,loan_purpose,risk_segment,income_to_loan_ratio,debt_to_income_ratio,annual_income_duplicate,low_variance_flag,default_status
100022,2023-09-28,BR012,G01813,44.0,Male,Single,Postgraduate,Salaried,131447.95,10516.68,53176.93,48,10.9,733.0,2,0.122,2,22353.01,84816.95,40.0,232.22,4.0,Family Owned,Tier 2,Yes,Education,Low,2.4719,1.0612,127364.24,0,0
100023,2023-05-14,BR031,G00196,38.0,Female,Single,Graduate,Self-employed,90000.0,5000.0,,48,8.32,635.0,2,0.708,1,13824.05,54816.94,51.0,100.0,15.0,Rent,Tier 3,No,Personal,Medium,0.6192,1.0704,89497.88,0,1
100024,2024-11-07,BR027,G01273,34.0,Female,Married,Graduate,Unemployed,90000.0,9021.44,203201.12,72,15.4,630.0,3,0.082,1,9311.76,26349.36,53.0,249.67,5.0,Own,Tier 2,Yes,Business,Medium,0.4429,1.5792,91389.64,0,0
100025,2024-07-24,BR004,G00055,29.0,Male,Married,Graduate,Salaried,103387.06,5000.0,177933.69,72,12.85,709.0,0,0.274,0,5519.38,21822.63,26.0,100.0,2.0,Rent,Tier 1,No,Business,Medium,0.581,0.8672,104799.28,0,0
100026,2024-04-15,BR011,G00110,60.0,Female,Divorced,Graduate,Salaried,94625.26,5000.0,201482.46,24,10.68,705.0,0,0.173,1,9020.71,23732.83,24.0,680.96,11.0,Rent,Tier 3,No,Personal,,0.4696,1.6987,94177.5,0,0
100027,2023-10-21,BR049,G00232,40.0,Female,Married,School,Self-employed,90000.0,5000.0,334400.48,84,14.11,738.0,0,0.173,1,4689.49,11757.62,53.0,689.05,3.0,Family Owned,Tier 2,Yes,Personal,Low,0.2691,1.1975,90549.32,0,0
100028,2024-08-23,BR037,G00405,21.0,Female,Divorced,Graduate,Salaried,90000.0,5000.0,174518.58,60,15.18,703.0,2,0.227,1,3162.81,9889.57,33.0,100.0,7.0,Family Owned,Tier 1,Yes,Business,Medium,0.5157,1.0545,89560.92,0,0
100029,2024-02-03,BR038,G00874,43.0,Female,Married,School,Salaried,90000.0,8705.77,221634.78,36,12.47,722.0,1,0.151,1,3952.44,29945.36,31.0,100.0,5.0,Rent,Tier 3,Yes,Home,Low,0.4061,1.9816,89581.76,0,0
100030,2023-11-20,BR010,G02339,52.0,Male,Single,Graduate,Salaried,90000.0,5000.0,175554.84,12,14.32,704.0,1,0.557,0,5253.96,15552.65,35.0,763.88,4.0,Own,Tier 3,No,Personal,Low,0.5127,2.6173,89202.15,0,0
100031,2023-11-25,BR004,G02266,41.0,Male,Single,Graduate,Salaried,104053.09,6301.4,50000.0,72,10.55,800.0,0,0.477,1,4223.48,27782.93,36.0,489.52,7.0,Rent,Tier 3,No,Education,Low,2.0811,0.8068,101675.35,0,0
100032,2023-06-15,BR015,G00258,,Male,Married,Graduate,Salaried,95502.66,5000.0,116373.43,36,13.68,653.0,2,0.285,1,11143.61,23495.08,20.0,687.61,4.0,Rent,Tier 1,Yes,Home,Low,0.8207,1.0344,96948.59,0,0
100033,2023-03-09,BR043,G02478,28.0,Female,Single,Postgraduate,Salaried,90000.0,12583.67,293266.45,60,11.82,651.0,0,0.361,1,9790.23,26750.48,36.0,564.69,5.0,Rent,Tier 1,Yes,Business,Low,0.3069,2.3295,92528.32,0,0
100034,2024-02-09,BR026,G01588,29.0,Female,Single,Graduate,Salaried,90000.0,5000.0,119048.78,48,9.34,699.0,1,0.567,2,-624.41,2848.55,31.0,100.0,7.0,Family Owned,Tier 3,No,,Medium,0.756,0.9974,91486.15,0,1
100035,2024-10-10,BR040,G01385,56.0,Female,Divorced,Graduate,Salaried,106372.93,5000.0,329119.36,48,9.62,547.0,2,0.259,5,7358.13,15484.38,31.0,1499.98,4.0,Family Owned,Tier 3,Yes,Home,High,0.3232,1.3376,104827.1,0,1
100036,2023-02-16,BR025,G01981,38.0,Male,Single,School,Salaried,90000.0,8796.17,252740.38,48,8.76,755.0,0,0.148,0,3917.98,7446.19,19.0,861.82,2.0,Rent,Tier 3,No,Business,Medium,0.3561,1.8749,90082.07,0,0
100037,2024-09-18,BR025,G01212,21.0,Female,Married,Graduate,Self-employed,90000.0,5000.0,102787.88,24,17.53,656.0,1,0.401,2,8612.02,33014.92,37.0,585.83,12.0,Family Owned,Tier 2,Yes,Business,Low,0.8756,1.2377,88926.16,0,0
100038,2024-08-27,BR031,G00664,43.0,Female,Single,School,Salaried,90000.0,8911.54,77284.17,24,8.95,662.0,4,0.283,2,15048.56,38516.87,47.0,100.0,4.0,Own,Tier 1,No,Personal,Low,1.1645,1.6176,88822.7,0,0
100039,2023-07-22,BR048,G01325,41.0,Female,Married,School,Self-employed,144460.01,5000.0,,24,13.39,692.0,2,0.035,0,27151.43,82155.41,25.0,265.33,5.0,Own,Tier 2,Yes,Personal,Medium,0.4672,1.4856,144936.29,0,0
100040,2024-04-06,BR022,G01813,34.0,Female,Married,Graduate,Unemployed,90000.0,,50000.0,72,10.5,727.0,2,0.494,2,12700.64,27424.76,40.0,100.0,7.0,Rent,Tier 1,Yes,Business,Low,1.8,0.8052,90584.24,0,0
100041,2023-05-01,BR030,G01707,28.0,Male,Single,Graduate,,90000.0,5000.0,199646.06,60,13.75,699.0,2,0.268,1,17376.54,54695.21,47.0,271.98,14.0,Rent,Tier 2,No,Education,Low,0.4508,1.1103,89876.95,0,0
100042,2024-07-07,BR046,G00425,27.0,Male,Single,Postgraduate,Unemployed,90000.0,5000.0,170254.14,48,17.74,,2,0.675,0,116.16,7171.42,44.0,,2.0,Rent,Tier 2,No,Personal,Medium,0.5286,1.1396,89826.04,0,0
100043,2024-05-26,BR019,G02346,51.0,Male,Married,School,Salaried,90000.0,5000.0,66055.28,24,10.81,699.0,3,0.449,2,-1926.91,5853.13,51.0,100.0,8.0,Own,Tier 2,No,Home,Medium,1.3625,1.0336,90558.34,0,0
100044,2023-09-16,BR042,G00712,42.0,Male,Married,School,Salaried,90000.0,5000.0,50000.0,36,9.13,656.0,4,0.282,2,1099.75,5715.97,49.0,100.0,4.0,Rent,Tier 2,Yes,Personal,Medium,1.8,0.8519,89787.12,0,0
100045,2023-02-19,BR027,G02050,44.0,Male,Single,Graduate,Self-employed,90000.0,5000.0,229828.58,36,12.03,656.0,1,0.395,2,335.29,23034.84,31.0,602.8,2.0,Rent,Tier 1,No,,Low,0.3916,1.5179,91526.87,0,0
100046,2024-12-09,BR044,G00780,42.0,Female,Married,School,Salaried,90000.0,5000.0,268866.05,36,13.42,,2,0.45,1,-469.24,6925.29,40.0,404.64,17.0,Rent,Tier 3,Yes,Education,Medium,0.3347,1.6625,88285.07,0,0
100047,2023-11-22,BR024,G00159,43.0,Male,Single,Graduate,Salaried,90000.0,5000.0,327824.29,48,14.05,622.0,3,0.49,2,18393.87,55140.35,55.0,100.0,11.0,Own,Tier 1,No,Education,Low,0.2745,1.5773,87275.04,0,0
100048,2024-10-13,BR032,G02492,34.0,Male,Single,Graduate,Self-employed,90000.0,7668.72,126347.3,36,10.72,637.0,3,0.322,2,446.45,2540.06,17.0,100.0,16.0,Rent,Tier 1,Yes,Education,Low,0.7123,1.4904,90015.11,0,0
100049,2024-05-09,BR017,G01472,37.0,Male,Married,Graduate,Unemployed,90000.0,5000.0,50000.0,84,13.81,742.0,0,0.745,0,7968.15,29866.55,16.0,506.33,1.0,Rent,Tier 1,No,Home,Medium,1.8,0.746,89563.14,0,0
100050,2024-07-22,BR032,G00537,52.0,Female,Single,Graduate,Salaried,90000.0,12442.72,285737.28,36,12.35,652.0,1,0.077,0,15764.64,26986.99,34.0,1009.51,,Rent,Tier 2,No,Home,Low,0.315,2.7173,89432.0,0,0
100051,2024-07-08,BR017,G00001,55.0,Female,Married,School,Self-employed,90000.0,,50000.0,60,10.76,665.0,2,0.119,1,,25973.46,,100.0,3.0,Rent,Tier 3,No,Home,Low,1.8,0.7778,92203.83,0,0
100052,2023-05-23,BR031,G00324,26.0,Male,Married,Postgraduate,Salaried,90000.0,5000.0,59858.3,24,9.1,747.0,1,0.349,0,8464.7,26996.54,31.0,1056.98,3.0,,Tier 3,Yes,Personal,Low,1.5036,0.9992,90708.87,0,0
100053,2023-09-23,BR040,G00425,37.0,Female,Married,Postgraduate,Salaried,90000.0,5000.0,175734.94,36,16.95,640.0,1,0.405,2,16417.08,25731.4,22.0,1228.83,5.0,Own,Tier 2,No,Business,Medium,0.5121,1.3175,90477.61,0,0
100054,2023-12-07,BR022,G02315,48.0,Female,Single,Graduate,Salaried,119867.98,13199.95,71312.0,48,10.17,785.0,1,0.14,1,3298.53,10245.92,38.0,471.44,10.0,Own,Tier 2,Yes,Education,Medium,1.6809,1.4702,117008.17,0,0
100055,2023-12-30,BR022,G00443,60.0,Female,Married,School,Self-employed,90000.0,5000.0,200624.54,60,16.56,623.0,2,0.132,0,10045.39,20307.14,48.0,100.0,1.0,Own,Tier 1,Yes,Education,Low,0.4486,1.1125,88347.17,0,0
100056,2023-02-01,BR017,G00405,59.0,Female,Married,Graduate,Salaried,159649.48,15278.1,223548.24,36,9.18,,3,0.696,2,7150.83,24486.76,49.0,298.25,4.0,Rent,Tier 2,Yes,Business,High,0.7142,1.6151,157291.47,0,0
100057,2024-02-03,BR037,G02095,30.0,Female,Single,Graduate,Self-employed,90000.0,8029.69,50000.0,48,9.79,686.0,1,0.183,1,10771.44,24232.82,41.0,100.0,17.0,Family Owned,Tier 1,No,Business,Low,1.8,1.2095,88354.96,0,0
100058,2023-04-23,BR030,G02199,,Female,Single,School,Salaried,94033.45,7356.33,156842.73,36,11.9,,2,0.088,1,,32985.24,26.0,100.0,8.0,Rent,Tier 1,Yes,Personal,Low,0.5995,1.4948,93848.8,0,0
100059,2024-06-26,BR026,G00523,40.0,Male,Married,Postgraduate,Self-employed,90000.0,5000.0,321827.92,60,11.62,565.0,4,0.151,3,6695.14,7361.91,28.0,779.14,8.0,Rent,Tier 3,No,,High,0.2797,1.3818,90165.79,0,0
100060,2024-05-13,BR002,G01627,50.0,Female,Married,Postgraduate,Salaried,126122.1,8034.98,219647.83,60,10.93,735.0,1,0.207,0,16483.88,38350.83,44.0,100.0,15.0,Rent,Tier 2,No,Business,Medium,0.5742,1.1128,126443.49,0,0
100061,2024-11-04,BR006,G01337,48.0,Male,Single,School,Salaried,90000.0,5000.0,50000.0,48,6.97,717.0,1,0.259,3,4553.39,14315.52,37.0,1051.73,7.0,Family Owned,Tier 3,No,Personal,Medium,1.8,0.8056,90040.43,0,0
100062,2024-06-27,BR001,G01443,25.0,Male,Married,School,Self-employed,,5000.0,93478.95,24,8.77,727.0,1,0.206,0,,31964.99,31.0,100.0,21.0,Family Owned,Tier 2,No,Education,Low,0.9628,1.186,90992.73,0,0
100063,2023-09-25,BR043,G00779,45.0,Female,Married,Graduate,Salaried,90000.0,5000.0,103114.63,84,12.62,717.0,1,0.814,1,11635.74,47408.6,43.0,314.17,2.0,Family Owned,Tier 2,Yes,Business,Medium,0.8728,0.8303,90015.46,0,0
100064,2024-12-07,BR043,G01879,50.0,Female,Single,Graduate,Self-employed,96007.26,5000.0,50000.0,48,12.56,756.0,3,0.355,2,7856.99,31424.45,37.0,1114.47,7.0,Own,Tier 2,No,Home,Low,1.9201,0.7552,93299.85,0,0
100065,2023-10-27,BR004,G02203,39.0,Female,Single,Graduate,Salaried,90000.0,5493.77,186764.77,36,10.52,,3,0.302,3,15606.11,40518.7,40.0,100.0,3.0,Rent,Tier 3,No,Home,Medium,0.4819,1.4242,87642.27,0,0
100066,2023-08-26,BR003,G01815,36.0,Female,Single,Graduate,Salaried,108309.41,10131.79,280305.31,24,12.46,706.0,0,0.098,0,2282.44,31576.24,61.0,356.46,2.0,Rent,Tier 1,Yes,Personal,Low,0.3864,2.4165,106980.04,0,0
100067,2024-10-23,BR040,G02258,22.0,Female,Married,Graduate,Self-employed,90000.0,,192926.93,60,9.64,766.0,0,0.189,1,,21712.05,29.0,100.0,22.0,Own,Tier 1,Yes,Personal,Low,0.4665,1.0954,90552.03,0,0
100068,2023-09-28,BR027,G00277,47.0,Female,Married,School,Salaried,90000.0,5000.0,50000.0,48,12.64,755.0,1,0.018,1,4510.28,18601.4,25.0,100.0,10.0,Rent,Tier 2,No,Home,Low,1.8,0.8056,90183.38,0,0
100069,2023-02-25,BR016,G01643,41.0,Female,Single,Graduate,Salaried,90000.0,10489.86,152015.48,60,14.58,700.0,1,0.267,1,2095.24,28575.75,24.0,1328.3,18.0,Own,Tier 2,Yes,Business,Low,0.592,1.7365,91307.82,0,0
100070,2023-12-09,BR031,G02499,29.0,Male,Married,Graduate,Salaried,95623.29,5000.0,310793.73,36,9.16,,0,0.62,0,-741.74,17260.81,34.0,100.0,11.0,Rent,Tier 2,No,Personal,High,0.3077,1.7109,98361.34,0,0
100071,2024-08-03,BR012,G01340,35.0,Male,Married,Graduate,Salaried,90000.0,8399.63,112305.23,48,12.29,739.0,1,0.532,0,,14912.29,47.0,100.0,6.0,Rent,Tier 3,No,Personal,Low,0.8014,1.4319,91574.49,0,0
100072,2023-05-19,BR010,G02355,41.0,Male,Married,Postgraduate,Unemployed,90000.0,5000.0,70065.61,60,7.71,663.0,3,0.472,1,5284.83,35022.76,63.0,623.28,3.0,Own,Tier 3,Yes,Business,Medium,1.2845,0.8224,90682.56,0,1
100073,2023-12-04,BR019,G00871,,Female,Single,School,Salaried,98017.58,13781.79,50000.0,24,14.52,737.0,2,0.362,0,12073.29,28463.8,75.0,100.0,14.0,Rent,Tier 1,Yes,Personal,Medium,1.9604,1.9423,96038.06,0,0
100074,2023-04-05,BR045,G02242,39.0,Female,Single,Postgraduate,Salaried,,8582.58,220227.79,36,16.91,759.0,0,0.306,0,,71279.55,74.0,700.01,9.0,Own,Tier 2,No,Home,Low,1.042,0.7687,231560.95,0,0
100075,2024-05-16,BR039,G02348,21.0,Female,Divorced,Graduate,Salaried,90000.0,8950.05,138291.57,36,12.06,681.0,2,0.498,1,1471.77,8472.45,31.0,841.08,12.0,Family Owned,Tier 2,Yes,Home,Medium,0.6508,1.7055,93165.65,0,0
100076,2023-12-14,BR010,G01556,54.0,Male,Single,Graduate,Salaried,90000.0,9868.03,99104.64,36,9.15,635.0,1,0.111,0,3335.13,12432.24,31.0,100.0,2.0,Own,Tier 2,No,Personal,Low,0.9081,1.6828,88800.79,0,0
100077,2023-08-30,BR029,G01762,39.0,Female,Single,Graduate,Self-employed,90000.0,5000.0,195864.95,60,12.44,606.0,1,0.304,2,16956.4,33103.67,35.0,833.66,6.0,Rent,Tier 3,No,Education,,0.4595,1.1019,89121.33,0,0
100078,2023-06-15,BR045,G01307,27.0,,Married,Graduate,Salaried,116699.65,5000.0,410339.04,12,13.46,737.0,0,0.212,0,17619.37,44575.55,,355.0,1.0,Rent,Tier 1,No,Business,Low,0.2844,4.0303,114968.77,0,0
100079,2024-02-17,BR048,G00793,21.0,Female,Married,Graduate,Salaried,90000.0,5000.0,187050.39,48,14.34,591.0,1,0.124,0,4094.68,14378.87,27.0,,12.0,Rent,Tier 1,Yes,Education,Medium,0.4812,1.1863,92463.51,0,0
100080,2024-05-03,BR039,G01341,50.0,Male,Married,Graduate,,90000.0,5000.0,114390.92,12,9.1,741.0,0,0.497,0,,25784.04,31.0,100.0,11.0,Rent,Tier 2,Yes,Education,Low,0.7868,1.9377,90168.67,0,0
100081,2024-11-17,BR007,G02407,45.0,Female,Married,School,Salaried,90000.0,5368.33,302047.22,36,11.81,614.0,2,0.304,2,14278.32,57230.77,56.0,100.0,4.0,Family Owned,Tier 1,No,Education,Medium,0.298,1.8345,89315.96,0,0
100082,2023-11-16,BR013,G00038,41.0,Female,Divorced,Graduate,Self-employed,90000.0,10511.17,50000.0,48,13.79,697.0,3,0.583,1,7960.35,13026.3,47.0,423.66,7.0,Rent,Tier 1,No,Business,Low,1.8,1.5404,89538.73,0,0
100083,2023-04-28,BR011,G00513,49.0,Male,Single,Graduate,Self-employed,90000.0,5000.0,118251.27,48,12.61,719.0,1,0.619,1,15095.8,39779.2,,489.28,4.0,Own,Tier 1,Yes,Business,Low,0.7611,0.9951,92545.04,0,0
100084,2024-08-30,BR008,G01249,48.0,Male,Married,Graduate,Salaried,90000.0,5000.0,50000.0,36,9.99,665.0,3,0.24,3,12213.36,50649.97,52.0,100.0,15.0,Family Owned,Tier 3,Yes,Home,Medium,1.8,0.8519,87567.21,0,0
100085,2024-04-04,BR009,G00849,41.0,Male,Single,School,Salaried,90000.0,5000.0,326898.5,48,17.14,635.0,5,0.253,2,-979.41,17776.04,35.0,,6.0,Rent,Tier 3,No,Business,Medium,0.2753,1.5747,91115.31,0,0
100086,2024-05-26,BR016,G01560,36.0,Male,Divorced,School,Salaried,90000.0,11513.55,95035.85,36,10.5,746.0,0,0.725,2,12661.5,37162.32,36.0,100.0,21.0,Own,Tier 2,No,Personal,Medium,0.947,1.8871,90307.36,0,0
100087,2023-03-12,BR028,G00902,34.0,Male,Married,Graduate,Salaried,107569.99,8036.3,200316.5,36,8.81,682.0,2,0.232,2,3125.72,6689.44,46.0,1085.59,5.0,,Tier 2,No,Business,Low,0.537,1.5172,108463.18,0,0
100088,2023-08-17,BR020,G01647,44.0,Female,Married,Graduate,Salaried,91935.17,5000.0,241879.65,72,10.8,598.0,1,0.259,1,3077.78,30694.48,34.0,153.54,5.0,Own,Tier 1,No,Education,Medium,0.3801,1.0911,91303.91,0,0
100089,2024-07-14,BR022,G00266,54.0,Female,Married,School,Unemployed,90000.0,8043.36,199269.01,48,16.82,624.0,3,0.581,2,,46992.22,18.0,1291.37,6.0,Rent,Tier 3,Yes,Home,Low,0.4517,1.626,89923.3,0,0
100090,2024-08-30,BR013,G00831,38.0,Female,Single,Graduate,Self-employed,90000.0,5000.0,68667.56,24,13.94,823.0,0,0.177,0,2910.32,29199.07,37.0,100.0,1.0,Rent,Tier 1,No,Education,Low,1.3107,1.0482,88008.79,0,0
100091,2023-11-14,BR008,G01733,55.0,Male,Married,Graduate,Salaried,90000.0,5000.0,65585.81,12,12.92,708.0,1,0.118,0,8536.07,21829.55,43.0,918.55,3.0,Own,Tier 2,No,Business,Medium,1.3722,1.3954,91630.2,0,0
100092,2024-08-10,BR050,G01179,43.0,Male,Single,Postgraduate,Salaried,90000.0,5000.0,52956.38,36,13.8,770.0,2,0.315,1,,25494.49,32.0,409.43,7.0,Rent,Tier 2,Yes,Personal,Low,1.6995,0.8628,92846.42,0,0
100093,2024-09-06,BR030,G01785,43.0,Female,Married,Graduate,Self-employed,90000.0,5000.0,50000.0,60,12.98,,1,0.608,0,,54027.14,28.0,100.0,1.0,Own,Tier 1,Yes,Personal,Low,1.8,0.7778,90072.9,0,0
100094,2023-10-10,BR012,G01591,65.0,Female,Single,Postgraduate,Salaried,90000.0,8385.63,131627.73,36,9.55,,1,0.188,0,4577.45,11231.61,37.0,100.0,5.0,Rent,Tier 2,No,Education,Low,0.6837,1.6056,90969.41,0,0
100095,2024-10-17,BR041,G00822,57.0,Female,Single,Graduate,Salaried,90000.0,5000.0,206848.13,48,10.56,695.0,0,0.454,2,9880.8,47862.65,39.0,234.82,10.0,Family Owned,Tier 2,No,Personal,Low,0.4351,1.2412,88214.66,0,0
100096,2023-07-30,BR042,G01071,57.0,Female,Single,Graduate,Salaried,90000.0,7783.75,130786.76,36,9.92,792.0,1,0.54,0,3091.74,17346.03,51.0,325.34,6.0,Own,Tier 2,No,Business,Medium,0.6881,1.5222,90045.27,0,0
100097,2023-06-24,BR049,G02412,30.0,Female,Married,Postgraduate,Self-employed,90000.0,11678.83,64967.82,24,12.65,734.0,1,0.441,2,1564.2,10919.57,18.0,,22.0,Own,Tier 2,Yes,Personal,Low,1.3853,1.9181,91081.46,0,0
100098,2024-05-13,BR008,G02406,63.0,Female,Married,School,Salaried,90000.0,5000.0,50000.0,48,13.06,674.0,3,0.271,2,62.11,24727.35,44.0,100.0,7.0,Own,Tier 1,No,Home,Medium,1.8,0.8056,91365.51,0,0
100099,2024-04-09,BR032,G00089,38.0,Female,Married,Postgraduate,Self-employed,90000.0,5000.0,257248.05,60,15.45,621.0,1,0.37,2,12794.46,39046.03,30.0,,9.0,Rent,Tier 3,Yes,Home,Medium,0.3499,1.2383,91482.76,0,0
100100,2023-04-13,BR050,G01764,36.0,Male,Single,Graduate,Self-employed,90000.0,10240.57,146223.02,24,15.75,717.0,1,0.366,1,-7024.28,0.0,48.0,471.85,11.0,Family Owned,Tier 2,No,Personal,Medium,0.6155,2.1778,90857.36,0,0
100101,2024-08-30,BR041,G01228,21.0,Male,Single,Graduate,Salaried,90000.0,5000.0,50000.0,36,14.64,693.0,2,0.129,1,4459.35,20920.05,24.0,279.37,,Own,Tier 3,Yes,Home,Medium,1.8,0.8519,91556.47,0,0
100102,2023-05-26,BR012,G00004,43.0,Female,Married,Postgraduate,Unemployed,90000.0,10952.91,50000.0,48,14.51,706.0,1,0.199,0,4815.37,34026.3,30.0,343.98,1.0,Own,Tier 1,Yes,Home,Medium,1.8,1.5993,90628.01,0,0
100103,2024-08-10,BR045,G01586,27.0,Male,Single,Postgraduate,Salaried,266341.26,18465.13,250976.85,48,12.46,,1,0.755,0,-9184.51,42825.96,63.0,,0.0,Rent,Tier 2,Yes,Personal,High,1.0612,1.0675,263260.32,0,1
100104,2023-01-06,BR022,G00059,43.0,Male,Married,Postgraduate,Self-employed,90000.0,5000.0,50000.0,12,11.07,722.0,5,0.136,0,3282.38,17487.95,29.0,,1.0,Rent,Tier 2,Yes,Personal,Low,1.8,1.2222,91933.94,0,0
